"","AIC_mar1_sim1","AIC_mar2_sim1","AIC_mar1_sim2","AIC_mar2_sim2","AICc_mar1_sim1","AICc_mar2_sim1","AICc_mar1_sim2","AICc_mar2_sim2","BIC_mar1_sim1","BIC_mar2_sim1","BIC_mar1_sim2","BIC_mar2_sim2"
"227","130.53","123.48","140.71","128.63","131.91","125.35","142.08","130.49","139.7","134.17","149.86","139.31"
"228","126.06","128.06","104.49","110.82","127.44","129.93","105.86","112.69","135.2","138.75","113.65","121.51"
"229","156.30","155.42","129.12","106.43","157.68","157.29","130.50","108.29","165.5","166.10","138.28","117.11"
"230","143.27","143.53","136.54","123.16","144.64","145.39","137.92","125.03","152.4","154.21","145.70","133.85"
"231","131.02","126.38","123.84","107.38","132.40","128.25","125.22","109.24","140.2","137.07","133.00","118.06"
"232","141.73","136.59","138.00","111.82","143.11","138.46","139.38","113.68","150.9","147.28","147.16","122.50"
"233","131.60","130.93","142.80","125.25","132.98","132.79","144.18","127.12","140.8","141.61","151.96","135.94"
"234","125.85","133.66","121.12"," 89.24","127.23","135.53","122.50"," 91.10","135.0","144.35","130.28"," 99.92"
"235","141.99","143.48","118.23","104.71","143.37","145.35","119.61","106.57","151.1","154.17","127.39","115.39"
"236","133.81","126.06","152.66","130.29","135.19","127.93","154.03","132.15","143.0","136.75","161.82","140.97"
"237","152.13","148.96","124.19","109.91","153.50","150.83","125.57","111.78","161.3","159.65","133.35","120.60"
"238","156.31","156.76","149.16","130.82","157.69","158.63","150.54","132.69","165.5","167.44","158.32","141.50"
"239","136.24","138.09","119.28"," 98.48","137.61","139.95","120.65","100.34","145.4","148.77","128.43","109.16"
"240","169.12","165.90","131.35","120.82","170.50","167.77","132.72","122.68","178.3","176.58","140.51","131.50"
"241","121.44","125.62","124.72","115.99","122.82","127.49","126.09","117.86","130.6","136.31","133.87","126.67"
"242","141.40","143.98","128.16","120.12","142.78","145.85","129.54","121.98","150.6","154.66","137.32","130.80"
"243","156.12","148.81","136.47","123.78","157.50","150.67","137.85","125.65","165.3","159.49","145.63","134.47"
"244","130.51","142.94","117.25","115.82","131.89","144.81","118.63","117.68","139.7","153.63","126.41","126.50"
"245","126.07","128.38","115.43","104.87","127.45","130.25","116.81","106.74","135.2","139.07","124.59","115.55"
"246","117.63","119.32","150.54","130.86","119.01","121.19","151.92","132.73","126.8","130.00","159.70","141.54"
"247","128.69","127.34","141.31","120.75","130.07","129.21","142.68","122.62","137.9","138.03","150.46","131.43"
"248","139.84","135.08","135.90","124.85","141.21","136.95","137.28","126.71","149.0","145.77","145.06","135.53"
"249","146.12","158.70","141.20","130.67","147.50","160.57","142.58","132.54","155.3","169.39","150.36","141.35"
"250","125.69","124.14","154.32","111.67","127.07","126.00","155.69","113.54","134.9","134.82","163.47","122.36"
"251","117.26","117.71","162.84","124.73","118.64","119.58","164.21","126.59","126.4","128.39","171.99","135.41"
"252","119.70","113.77","147.21","136.79","121.08","115.64","148.59","138.65","128.9","124.46","156.37","147.47"
"253","134.27","126.16","144.12","128.82","135.65","128.02","145.50","130.68","143.4","136.84","153.28","139.50"
